,Movie,Year Released,IMDb,n_IMDb,Metascore,Votes
0,Pinocchio,1940,7.5,75.0,99.0,160K
1,Fantasia,1940,7.7,77.0,96.0,104K
2,Rebecca,1940,8.1,81.0,86.0,147K
3,Foreign Correspondent,1940,7.4,74.0,89.0,24K
4, The Shop Around the Corner,1940,8.0,80.0,96.0,39K
5, The Grapes of Wrath,1940,8.1,81.0,96.0,100K
6, The Philadelphia Story,1940,7.9,79.0,96.0,74K
7, The Westerner,1940,7.3,73.0,78.0,6.9K
8,Suspicion,1941,7.3,73.0,83.0,43K
9,The Maltese Falcon,1941,8.0,80.0,97.0,167K
10, Dumbo,1941,7.2,72.0,96.0,142K
11, Citizen Kane,1941,8.3,83.0,100.0,467K
12, How Green Was My Valley,1941,7.7,77.0,88.0,27K
13, The Wolf Man,1941,7.2,72.0,72.0,31K
14, Ball of Fire,1941,7.7,77.0,78.0,14K
15, The Lady Eve,1941,7.7,77.0,96.0,23K
16, They Died with Their Boots On,1941,7.2,72.0,75.0,6.9K
17,Bambi,1942,7.3,73.0,91.0,155K
18,Yankee Doodle Dandy,1942,7.6,76.0,89.0,17K
19,Random Harvest,1942,7.9,79.0,62.0,8.5K
20,Holiday Inn,1942,7.3,73.0,70.0,18K
21,The Major and the Minor,1942,7.4,74.0,73.0,7.7K
22,Cat People,1942,7.2,72.0,85.0,26K
23, Road to Morocco,1942,7.0,70.0,75.0,5.9K
24, Casablanca,1942,8.5,85.0,100.0,608K
25,For Whom the Bell Tolls,1943,6.8,68.0,68.0,10K
26,Girl Crazy,1943,6.8,68.0,84.0,2.2K
27,Phantom of the Opera,1943,6.4,64.0,63.0,8.3K
28, Shadow of a Doubt,1943,7.8,78.0,94.0,71K
29,Going My Way,1944,7.0,70.0,90.0,14K
30,Meet Me in St. Louis,1944,7.5,75.0,94.0,28K
31,Double Indemnity,1944,8.3,83.0,95.0,168K
32, Gaslight,1944,7.8,78.0,78.0,34K
33, To Have and Have Not,1944,7.8,78.0,90.0,38K
34, The Three Caballeros,1944,6.3,63.0,85.0,16K
35, Lifeboat,1944,7.6,76.0,78.0,31K
36, National Velvet,1944,7.3,73.0,83.0,8.1K
37,Spellbound,1945,7.5,75.0,78.0,52K
38, Mildred Pierce,1945,7.9,79.0,88.0,29K
39, They Were Expendable,1945,7.2,72.0,86.0,9.3K
40, Brief Encounter,1945,8.0,80.0,92.0,44K
41, Children of Paradise,1945,8.3,83.0,96.0,21K
42, Anchors Aweigh,1945,7.0,70.0,60.0,9.5K
43,Song of the South,1946,6.9,69.0,54.0,15K
44,The Best Years of Our Lives,1946,8.1,81.0,93.0,71K
45,Notorious,1946,7.9,79.0,100.0,108K
46,The Postman Always Rings Twice,1946,7.4,74.0,84.0,23K
47,The Big Sleep,1946,7.9,79.0,86.0,91K
48,The Yearling,1946,7.2,72.0,89.0,6.5K
49, Beauty and the Beast,1946,7.9,79.0,92.0,28K
50, It's a Wonderful Life,1946,8.6,86.0,89.0,501K
51, Dead Reckoning,1946,7.1,71.0,51.0,8.8K
52, Great Expectations,1946,7.8,78.0,90.0,26K
53,Miracle on 34th Street,1947,7.9,79.0,88.0,55K
54, Jenny Lamour,1947,7.7,77.0,89.0,6.4K
55, Out of the Past,1947,8.0,80.0,85.0,41K
56, Black Narcissus,1947,7.7,77.0,86.0,28K
57, Dark Passage,1947,7.5,75.0,68.0,22K
58,The Snake Pit,1948,7.6,76.0,76.0,8.5K
59,Hamlet,1948,7.6,76.0,82.0,18K
60,The Treasure of the Sierra Madre,1948,8.2,82.0,98.0,133K
61,Abbott and Costello Meet Frankenstein,1948,7.3,73.0,69.0,20K
62, The Fallen Idol,1948,7.6,76.0,88.0,9.7K
63, Rope,1948,7.9,79.0,73.0,155K
64, Oliver Twist,1948,7.8,78.0,84.0,14K
65, Red River,1948,7.8,78.0,96.0,35K
66,Little Women,1949,7.2,72.0,61.0,8.3K
67, The Third Man,1949,8.1,81.0,97.0,182K
68, Adam's Rib,1949,7.4,74.0,87.0,23K
69, On the Town,1949,7.3,73.0,71.0,19K
70, Take Me Out to the Ball Game,1949,6.6,66.0,66.0,4.1K
71, She Wore a Yellow Ribbon,1949,7.2,72.0,87.0,19K
72, White Heat,1949,8.1,81.0,89.0,36K
73, Sands of Iwo Jima,1949,7.0,70.0,75.0,11K
74,Cinderella,1950,7.3,73.0,85.0,175K
75,Father of the Bride,1950,7.1,71.0,76.0,13K
76,Annie Get Your Gun,1950,6.9,69.0,77.0,5.3K
77, Rashomon,1950,8.2,82.0,98.0,181K
78, All About Eve,1950,8.2,82.0,98.0,139K
79, Sunset Boulevard,1950,8.4,84.0,94.0,237K
80, The Asphalt Jungle,1950,7.8,78.0,85.0,30K
81, Treasure Island,1950,6.9,69.0,89.0,9.5K
82,Quo Vadis,1951,7.1,71.0,65.0,17K
83,A Streetcar Named Desire,1951,7.9,79.0,97.0,115K
84,Strangers on a Train,1951,7.9,79.0,88.0,141K
85,An American in Paris,1951,7.1,71.0,83.0,37K
86,Ace in the Hole,1951,8.1,81.0,72.0,39K
87, Alice in Wonderland,1951,7.3,73.0,68.0,155K
88, The African Queen,1951,7.7,77.0,91.0,85K
89, The Day the Earth Stood Still,1951,7.7,77.0,83.0,86K
90, A Place in the Sun,1951,7.7,77.0,76.0,25K
91, The Lavender Hill Mob,1951,7.5,75.0,90.0,16K
92,The Greatest Show on Earth,1952,6.5,65.0,76.0,16K
93,The Snows of Kilimanjaro,1952,6.1,61.0,62.0,5.9K
94,The Quiet Man,1952,7.7,77.0,85.0,43K
95,Singin' in the Rain,1952,8.3,83.0,99.0,262K
96,High Noon,1952,8.0,80.0,89.0,111K
97,The Story of Robin Hood and His Merrie Men,1952,6.5,65.0,64.0,2.4K
98, Limelight,1952,8.0,80.0,84.0,22K
99, Umberto D.,1952,8.2,82.0,92.0,28K
100, Ikiru,1952,8.3,83.0,92.0,88K
101, Ivanhoe,1952,6.7,67.0,75.0,10K
102,Peter Pan,1953,7.3,73.0,76.0,154K
103,From Here to Eternity,1953,7.6,76.0,85.0,51K
104,House of Wax,1953,7.0,70.0,68.0,20K
105,Shane,1953,7.6,76.0,85.0,44K
106, The War of the Worlds,1953,7.0,70.0,78.0,39K
107, The Bullocks,1953,7.8,78.0,87.0,20K
108, Little Fugitive,1953,7.5,75.0,91.0,3K
109, Roman Holiday,1953,8.0,80.0,78.0,148K
110,Rear Window,1954,8.5,85.0,100.0,524K
111,White Christmas,1954,7.6,76.0,56.0,51K
112,"20,000 Leagues Under the Sea",1954,7.2,72.0,83.0,37K
113,The Caine Mutiny,1954,7.7,77.0,63.0,30K
114,A Star Is Born,1954,7.5,75.0,89.0,20K
115,On the Waterfront,1954,8.1,81.0,91.0,166K
116,Seven Brides for Seven Brothers,1954,7.3,73.0,75.0,27K
117, Godzilla,1954,7.5,75.0,79.0,40K
118,Lady and the Tramp,1955,7.3,73.0,78.0,149K
119,Mister Roberts,1955,7.6,76.0,72.0,18K
120,Guys and Dolls,1955,7.1,71.0,77.0,19K
121, To Catch a Thief,1955,7.4,74.0,82.0,80K
122, Land of the Pharaohs,1955,6.6,66.0,65.0,4.8K
123, The Night of the Hunter,1955,8.0,80.0,97.0,98K
124, Rififi,1955,8.1,81.0,97.0,37K
125, Marty,1955,7.7,77.0,82.0,27K
126, Rebel Without a Cause,1955,7.6,76.0,89.0,98K
127,Around the World in 80 Days,1956,6.7,67.0,69.0,30K
128,The King and I,1956,7.4,74.0,72.0,28K
129,High Society,1956,6.9,69.0,65.0,18K
130,Moby Dick,1956,7.3,73.0,78.0,22K
131,The Man Who Knew Too Much,1956,7.4,74.0,76.0,70K
132, Lust for Life,1956,7.3,73.0,68.0,13K
133, Forbidden Planet,1956,7.5,75.0,80.0,53K
134, Bob the Gambler,1956,7.6,76.0,80.0,13K
135,The Bridge on the River Kwai,1957,8.1,81.0,88.0,234K
136,Peyton Place,1957,7.2,72.0,63.0,6.6K
137,Old Yeller,1957,7.2,72.0,84.0,15K
138,The Curse of Frankenstein,1957,7.0,70.0,59.0,13K
139,Gunfight at the O.K. Corral,1957,7.1,71.0,56.0,18K
140, Witness for the Prosecution,1957,8.4,84.0,76.0,138K
141, 12 Angry Men,1957,9.0,90.0,97.0,870K
142, Jailhouse Rock,1957,6.5,65.0,68.0,9.9K
143, La grande strada azzurra,1957,6.9,69.0,76.0,723
144, The Seventh Seal,1957,8.1,81.0,88.0,199K
145,Cat on a Hot Tin Roof,1958,7.9,79.0,84.0,54K
146,Separate Tables,1958,7.4,74.0,68.0,8.6K
147,Vertigo,1958,8.3,83.0,100.0,429K
148,The Fly,1958,7.1,71.0,62.0,26K
149, Touch of Evil,1958,8.0,80.0,99.0,110K
150, Elevator to the Gallows,1958,7.9,79.0,94.0,29K
151, The Big Country,1958,7.9,79.0,61.0,21K
152, The Blob,1958,6.3,63.0,58.0,29K
153, Horror of Dracula,1958,7.2,72.0,67.0,28K
154, The Hidden Fortress,1958,8.1,81.0,89.0,42K
155, Gigi,1958,6.6,66.0,82.0,25K
156,Ben-Hur,1959,8.1,81.0,90.0,254K
157,Sleeping Beauty,1959,7.2,72.0,85.0,161K
158,Some Like It Hot,1959,8.2,82.0,98.0,284K
159,Pillow Talk,1959,7.4,74.0,73.0,19K
